YearMonth,Monthly Paper Percentage,Monthly Plastic Percentage,Monthly Total Percentage,Monthly Paper Total,Monthly Plastic Total
2019-01,0.8436462244472256,0.7216675114039535,0.8080818678882814,4794.0,1973.0
2019-02,0.8149409102338445,0.7627056778679026,0.799132035770647,3977.0,1726.0
2019-03,0.7579671913101308,0.7470051020408164,0.7546468861072477,4511.0,1960.0
2019-04,0.8105903021784963,0.7597897574123988,0.7952024820378837,4269.0,1855.0
2019-05,0.8106012297882033,0.7193256059009484,0.783054539672444,4391.0,1898.0
2019-06,0.7880551053484602,0.6488779419813903,0.7466823950536934,4319.0,1827.0
2019-07,0.6798988738221098,0.5367939752555138,0.6370595813204508,4351.0,1859.0
2019-08,0.7782361015785861,0.6591138530566463,0.7437227819304517,4371.0,1783.0
2019-09,0.8104789449329015,0.6905027027027026,0.7745171743357097,4322.0,1850.0
2019-10,0.7280681818181819,0.6586206896551725,0.7071708819714656,4312.0,1856.0
2019-11,0.7437926972909306,0.7945544554455446,0.7590136895926111,4245.0,1818.0
2019-12,0.8434753109687145,0.7648431734317342,0.8206663098742306,5306.0,2168.0
2020-01,0.7782500497710533,0.7260702096538274,0.7631212892281594,5023.0,2051.0
2020-02,0.8609191264698823,0.8141441441441442,0.8469409389197377,4167.0,1776.0
2020-03,0.8745766488413547,0.8487603305785123,0.8667963885429638,4488.0,1936.0
2020-04,0.9151971326164875,0.9082334549244399,0.913103556321479,4464.0,1919.0
2020-05,0.9063477537437603,0.9252036415908003,0.9120551124002901,4808.0,2087.0
2020-06,0.8758336681398153,0.8837013922227557,0.878154652315536,4978.0,2083.0
2020-07,0.8582941704035874,0.843591941705958,0.8539567526555387,5575.0,2333.0
2020-08,0.9028195621468927,0.8781925675675674,0.8955590139442231,5664.0,2368.0
2020-09,0.8635262672811058,0.8565065502183405,0.8614426441996113,5425.0,2290.0
2020-10,0.8312530915086561,0.8490093109869646,0.8367017142857143,6065.0,2685.0
2020-11,0.9098706968933669,0.9302963818321786,0.9160750613819713,5955.0,2598.0
2020-12,0.9149866573848475,0.8731447635625181,0.9030333167578319,8619.0,3447.0
2021-01,0.8705374635954463,0.8087815126050419,0.8525929752066116,7554.0,3094.0
2021-02,0.9266461159062885,0.8892249368155011,0.9156117252515217,5677.0,2374.0
2021-03,0.931558335042034,0.9140183752417795,0.9263354931605471,4877.0,2068.0
